Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|O43719|HTSF1_HUMAN;tr|Q5H919|Q5H919_HUMAN;tr|Q5H918|Q5H918_HUMAN	sp|O43719|HTSF1_HUMAN;tr|Q5H919|Q5H919_HUMAN;tr|Q5H918|Q5H918_HUMAN	2;1;1	2;1;1	2;1;1	sp|O43719|HTSF1_HUMAN HIV Tat-specific factor 1 OS=Homo sapiens GN=HTATSF1 PE=1 SV=1;tr|Q5H919|Q5H919_HUMAN HIV Tat-specific factor 1 (Fragment) OS=Homo sapiens GN=HTATSF1 PE=1 SV=1;tr|Q5H918|Q5H918_HUMAN HIV Tat-specific factor 1 (Fragment) OS=Homo sapien	3	2	2	2	2.3	2.3	2.3	85.852	755	755;223;244	0.0012903	10.55	68346000	2				220	7335;11164	True;True	7438;11322	8787;13532	9901;15238	9901;15238		
sp|O43747|AP1G1_HUMAN;tr|J3KQU9|J3KQU9_HUMAN;sp|O43747-2|AP1G1_HUMAN;tr|B3KXW5|B3KXW5_HUMAN;tr|H3BR36|H3BR36_HUMAN;tr|H3BUN9|H3BUN9_HUMAN;tr|H3BNR4|H3BNR4_HUMAN;tr|B4DGE1|B4DGE1_HUMAN;tr|H3BRM7|H3BRM7_HUMAN;tr|H3BN71|H3BN71_HUMAN;tr|H3BS13|H3BS13_HUMAN;tr|H3BV30|H3BV30_HUMAN;tr|H3BN75|H3BN75_HUMAN	sp|O43747|AP1G1_HUMAN;tr|J3KQU9|J3KQU9_HUMAN;sp|O43747-2|AP1G1_HUMAN;tr|B3KXW5|B3KXW5_HUMAN	15;15;15;15;6;6;6;4;3;3;2;2;1	15;15;15;15;6;6;6;4;3;3;2;2;1	15;15;15;15;6;6;6;4;3;3;2;2;1	sp|O43747|AP1G1_HUMAN AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5;tr|J3KQU9|J3KQU9_HUMAN AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=1;sp|O43747-2|AP1G1_HUMAN Isoform 2 of AP-1 complex subunit gamma-1 OS=Homo sapiens G	13	15	15	15	20.6	20.6	20.6	91.35	822	822;825;825;845;187;208;236;176;139;144;85;91;53	0	99.323	909890000	15				221	108;278;1224;1843;3625;4253;8316;10205;11706;18140;18334;19249;19462;20287;21024	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	108;279;1242;1868;3672;4308;8433;10349;11867;18431;18628;19561;19775;20611;21358	120;121;321;1452;2177;4316;5066;10013;12376;14181;21894;22129;23280;23524;24525;25398	131;132;357;1630;2451;4865;5712;11310;13932;15970;24547;24828;26117;26389;27529;28493	132;357;1630;2451;4865;5712;11310;13932;15970;24547;24828;26117;26389;27529;28493		
sp|O43752-2|STX6_HUMAN;sp|O43752|STX6_HUMAN	sp|O43752-2|STX6_HUMAN;sp|O43752|STX6_HUMAN	1;1	1;1	1;1	sp|O43752-2|STX6_HUMAN Isoform 2 of Syntaxin-6 OS=Homo sapiens GN=STX6;sp|O43752|STX6_HUMAN Syntaxin-6 OS=Homo sapiens GN=STX6 PE=1 SV=1	2	1	1	1	16.2	16.2	16.2	17.434	154	154;255	0.0012998	10.92	31148000	1				222	8258	True	8375	9948	11238	11238		
sp|O43760|SNG2_HUMAN;tr|Q3KQZ2|Q3KQZ2_HUMAN;tr|K7ELD9|K7ELD9_HUMAN;tr|K7ENG9|K7ENG9_HUMAN;tr|K7ELS8|K7ELS8_HUMAN;tr|K7EJ35|K7EJ35_HUMAN	sp|O43760|SNG2_HUMAN;tr|Q3KQZ2|Q3KQZ2_HUMAN;tr|K7ELD9|K7ELD9_HUMAN;tr|K7ENG9|K7ENG9_HUMAN;tr|K7ELS8|K7ELS8_HUMAN	5;5;3;3;3;1	5;5;3;3;3;1	5;5;3;3;3;1	sp|O43760|SNG2_HUMAN Synaptogyrin-2 OS=Homo sapiens GN=SYNGR2 PE=1 SV=1;tr|Q3KQZ2|Q3KQZ2_HUMAN Synaptogyrin OS=Homo sapiens GN=SYNGR2 PE=1 SV=1;tr|K7ELD9|K7ELD9_HUMAN Synaptogyrin-2 OS=Homo sapiens GN=SYNGR2 PE=1 SV=1;tr|K7ENG9|K7ENG9_HUMAN Synaptogyrin-2 	6	5	5	5	20.5	20.5	20.5	24.81	224	224;275;65;113;135;168	0	28.376	516750000	5				223	628;3239;5466;12929;15033	True;True;True;True;True	637;3285;5542;13115;15272	736;3847;6517;15633;18136	816;4347;7312;17571;20329	816;4347;7312;17571;20329		
sp|O43765|SGTA_HUMAN;tr|K7EMD6|K7EMD6_HUMAN	sp|O43765|SGTA_HUMAN;tr|K7EMD6|K7EMD6_HUMAN	6;4	6;4	6;4	sp|O43765|SGTA_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens GN=SGTA PE=1 SV=1;tr|K7EMD6|K7EMD6_HUMAN Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Fragment) OS=Homo sapiens GN=SGTA P	2	6	6	6	22.4	22.4	22.4	34.063	313	313;162	0	50.105	377230000	6				224	997;7771;11044;11370;18003;18783	True;True;True;True;True;True	1012;7883;11200;11529;18293;19089	1174;9372;13382;13791;21736;22694	1311;10585;15077;15539;24377;25468	1311;10585;15077;15539;24377;25468		
sp|O43768-6|ENSA_HUMAN;sp|O43768-5|ENSA_HUMAN;sp|O43768-2|ENSA_HUMAN;sp|O43768|ENSA_HUMAN;sp|O43768-9|ENSA_HUMAN;sp|O43768-7|ENSA_HUMAN;sp|O43768-3|ENSA_HUMAN;tr|A6NMQ3|A6NMQ3_HUMAN;sp|O43768-4|ENSA_HUMAN;tr|C9JUF4|C9JUF4_HUMAN;tr|Q5T5H1|Q5T5H1_HUMAN;tr|H3BQ52|H3BQ52_HUMAN;sp|O43768-8|ENSA_HUMAN	sp|O43768-6|ENSA_HUMAN;sp|O43768-5|ENSA_HUMAN;sp|O43768-2|ENSA_HUMAN;sp|O43768|ENSA_HUMAN;sp|O43768-9|ENSA_HUMAN;sp|O43768-7|ENSA_HUMAN;sp|O43768-3|ENSA_HUMAN;tr|A6NMQ3|A6NMQ3_HUMAN;sp|O43768-4|ENSA_HUMAN;tr|C9JUF4|C9JUF4_HUMAN;tr|Q5T5H1|Q5T5H1_HUMAN	4;4;4;4;4;4;4;4;4;4;4;1;1	4;4;4;4;4;4;4;4;4;4;4;1;1	3;3;3;3;3;3;3;3;3;3;3;0;1	sp|O43768-6|ENSA_HUMAN Isoform 6 of Alpha-endosulfine OS=Homo sapiens GN=ENSA;sp|O43768-5|ENSA_HUMAN Isoform 5 of Alpha-endosulfine OS=Homo sapiens GN=ENSA;sp|O43768-2|ENSA_HUMAN Isoform 2 of Alpha-endosulfine OS=Homo sapiens GN=ENSA;sp|O43768|ENSA_HUMAN A	13	4	4	3	37.2	37.2	27.4	12.404	113	113;117;117;121;133;133;137;140;140;144;187;71;105	0	24.459	573820000	5				225	3811;13938;16846;20551	True;True;True;True	3862;14159;17112;20880	4534;16852;20306;24834	5123;18920;18921;22767;27868	5123;18920;22767;27868		
sp|O43776|SYNC_HUMAN;tr|B4DN60|B4DN60_HUMAN;tr|K7EIU7|K7EIU7_HUMAN;tr|K7EPK2|K7EPK2_HUMAN;tr|B4DG16|B4DG16_HUMAN;tr|K7EMQ6|K7EMQ6_HUMAN;tr|K7EJ19|K7EJ19_HUMAN;tr|K7EQ35|K7EQ35_HUMAN;REV__tr|H7C110|H7C110_HUMAN;REV__sp|H7BZ55|CROL3_HUMAN	sp|O43776|SYNC_HUMAN;tr|B4DN60|B4DN60_HUMAN	16;10;5;5;5;4;4;4;1;1	16;10;5;5;5;4;4;4;1;1	16;10;5;5;5;4;4;4;1;1	sp|O43776|SYNC_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1;tr|B4DN60|B4DN60_HUMAN Asparagine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=NARS PE=1 SV=1	10	16	16	16	33.9	33.9	33.9	62.942	548	548;299;162;163;174;128;136;167;249;2252	0	124.25	1720100000	19				226	3200;3379;3810;4082;4473;5469;8166;9449;10673;11758;12337;13221;13882;18855;19241;20638	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3246;3425;3861;4137;4528;5545;8282;9587;10824;11923;11924;12508;13425;14103;19163;19553;20968	3797;4018;4533;4871;4872;5319;6520;9842;11399;12935;14245;14246;14925;15998;16790;22787;23270;24939;24940	4293;4543;5122;5492;5493;6002;6003;7315;11119;12859;14557;16046;16047;16793;17964;17965;18851;25575;26106;27988;27989	4293;4543;5122;5493;6003;7315;11119;12859;14557;16046;16793;17965;18851;25575;26106;27989	31	427
sp|O43809|CPSF5_HUMAN;tr|H3BND3|H3BND3_HUMAN;tr|H3BV41|H3BV41_HUMAN	sp|O43809|CPSF5_HUMAN;tr|H3BND3|H3BND3_HUMAN	10;7;4	10;7;4	10;7;4	sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1;tr|H3BND3|H3BND3_HUMAN Cleavage and polyadenylation-specificity factor subunit 5 (Fragment) OS=Homo sapiens GN=NUDT21 PE=1 SV=2	3	10	10	10	46.3	46.3	46.3	26.227	227	227;149;71	0	66.008	731810000	13				227	1016;7101;9836;10845;11759;11891;11894;17654;18264;20696	True;True;True;True;True;True;True;True;True;True	1031;7203;9979;10998;11925;12058;12061;17935;18556;21027	1196;8500;11907;13137;14247;14398;14401;21294;22039;25013;25014	1339;9551;13416;14787;16048;16219;16222;23893;23894;24716;28066;28067;28068	1339;9551;13416;14787;16048;16219;16222;23893;24716;28068		
sp|O43813|LANC1_HUMAN;tr|E9PHS0|E9PHS0_HUMAN;tr|F8WDS9|F8WDS9_HUMAN	sp|O43813|LANC1_HUMAN;tr|E9PHS0|E9PHS0_HUMAN;tr|F8WDS9|F8WDS9_HUMAN	6;5;3	6;5;3	6;5;3	sp|O43813|LANC1_HUMAN LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1;tr|E9PHS0|E9PHS0_HUMAN LanC-like protein 1 (Fragment) OS=Homo sapiens GN=LANCL1 PE=1 SV=1;tr|F8WDS9|F8WDS9_HUMAN LanC-like protein 1 OS=Homo sapiens GN=LANCL1 PE=1 SV=1	3	6	6	6	22.6	22.6	22.6	45.283	399	399;196;82	0	39.046	279000000	4				228	553;4239;8822;11156;16315;16366	True;True;True;True;True;True	560;4294;8950;11314;16570;16622	647;5049;10633;13521;19661;19736	718;5692;11998;15227;22050;22134	718;5692;11998;15227;22050;22134		
sp|O43823|AKAP8_HUMAN	sp|O43823|AKAP8_HUMAN	2	2	2	sp|O43823|AKAP8_HUMAN A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1	1	2	2	2	1.7	1.7	1.7	76.107	692	692	0	12.8	26712000	2				229	7500;7501	True;True	7607;7608	8999;9000	10141;10142	10141;10142		
sp|O43837-2|IDH3B_HUMAN;sp|O43837|IDH3B_HUMAN;sp|O43837-3|IDH3B_HUMAN	sp|O43837-2|IDH3B_HUMAN;sp|O43837|IDH3B_HUMAN	6;6;2	6;6;2	6;6;2	sp|O43837-2|IDH3B_HUMAN Isoform A of Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens GN=IDH3B;sp|O43837|IDH3B_HUMAN Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2	3	6	6	6	24.8	24.8	24.8	41.887	383	383;385;233	0	37.859	227480000	6				230	42;7524;7604;7626;9793;18760	True;True;True;True;True;True	42;7632;7713;7735;9935;19066	44;9030;9130;9158;11856;22669	47;10176;10287;10319;13359;25439	47;10176;10287;10319;13359;25439		
tr|F5H7V1|F5H7V1_HUMAN;tr|G3V1R5|G3V1R5_HUMAN;sp|O43847|NRDC_HUMAN;sp|O43847-2|NRDC_HUMAN;tr|B1AKJ5|B1AKJ5_HUMAN	tr|F5H7V1|F5H7V1_HUMAN;tr|G3V1R5|G3V1R5_HUMAN;sp|O43847|NRDC_HUMAN;sp|O43847-2|NRDC_HUMAN;tr|B1AKJ5|B1AKJ5_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|F5H7V1|F5H7V1_HUMAN Nardilysin OS=Homo sapiens GN=NRD1 PE=1 SV=1;tr|G3V1R5|G3V1R5_HUMAN Nardilysin OS=Homo sapiens GN=NRD1 PE=1 SV=1;sp|O43847|NRDC_HUMAN Nardilysin OS=Homo sapiens GN=NRD1 PE=1 SV=2;sp|O43847-2|NRDC_HUMAN Isoform 2 of Nardilysin OS=Homo	5	1	1	1	1.3	1.3	1.3	86.355	747	747;1087;1150;1218;1219	0.0034104	6.3266	0	1				231	5172	True	5243	6142	6895	6895		
sp|O43852|CALU_HUMAN;sp|O43852-3|CALU_HUMAN;sp|O43852-2|CALU_HUMAN;sp|O43852-4|CALU_HUMAN;sp|O43852-15|CALU_HUMAN;sp|O43852-5|CALU_HUMAN;sp|O43852-6|CALU_HUMAN;tr|H0Y875|H0Y875_HUMAN;sp|O43852-10|CALU_HUMAN;sp|O43852-9|CALU_HUMAN;sp|O43852-13|CALU_HUMAN;sp|O43852-14|CALU_HUMAN;sp|O43852-11|CALU_HUMAN;sp|O43852-8|CALU_HUMAN;sp|O43852-12|CALU_HUMAN;sp|O43852-7|CALU_HUMAN	sp|O43852|CALU_HUMAN;sp|O43852-3|CALU_HUMAN;sp|O43852-2|CALU_HUMAN;sp|O43852-4|CALU_HUMAN;sp|O43852-15|CALU_HUMAN;sp|O43852-5|CALU_HUMAN;sp|O43852-6|CALU_HUMAN;tr|H0Y875|H0Y875_HUMAN;sp|O43852-10|CALU_HUMAN	15;15;12;12;10;9;9;8;8;7;5;5;5;3;2;2	15;15;12;12;10;9;9;8;8;7;5;5;5;3;2;2	15;15;12;12;10;9;9;8;8;7;5;5;5;3;2;2	sp|O43852|CALU_HUMAN Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2;sp|O43852-3|CALU_HUMAN Isoform 3 of Calumenin OS=Homo sapiens GN=CALU;sp|O43852-2|CALU_HUMAN Isoform 2 of Calumenin OS=Homo sapiens GN=CALU;sp|O43852-4|CALU_HUMAN Isoform 4 of Calumenin OS=Ho	16	15	15	15	57.1	57.1	57.1	37.106	315	315;323;315;323;164;229;265;147;224;154;139;147;170;201;74;161	0	208.61	1613800000	22				232	3288;3634;4505;6319;7565;7566;8026;12374;12758;12759;12839;12840;17395;19049;20297	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3334;3682;4561;6414;7673;7674;8142;12545;12934;12935;13020;13021;17673;19358;20621	3903;3904;4332;5359;7547;7548;9081;9082;9083;9679;9680;14968;15426;15427;15428;15527;15528;15529;20970;23016;23017;24537	4414;4415;4884;6046;8476;8477;10234;10235;10236;10934;10935;16840;17349;17350;17351;17458;17459;17460;23529;25834;25835;27542	4415;4884;6046;8476;10234;10236;10935;16840;17350;17351;17458;17460;23529;25835;27542		
sp|O43865-2|SAHH2_HUMAN;sp|Q96HN2-4|SAHH3_HUMAN;sp|Q96HN2-3|SAHH3_HUMAN;tr|D7UEQ7|D7UEQ7_HUMAN;tr|H0Y8B3|H0Y8B3_HUMAN;tr|F8W7N8|F8W7N8_HUMAN;sp|O43865|SAHH2_HUMAN;sp|Q96HN2-2|SAHH3_HUMAN;sp|Q96HN2|SAHH3_HUMAN	sp|O43865-2|SAHH2_HUMAN;sp|Q96HN2-4|SAHH3_HUMAN;sp|Q96HN2-3|SAHH3_HUMAN;tr|D7UEQ7|D7UEQ7_HUMAN;tr|H0Y8B3|H0Y8B3_HUMAN;tr|F8W7N8|F8W7N8_HUMAN;sp|O43865|SAHH2_HUMAN;sp|Q96HN2-2|SAHH3_HUMAN;sp|Q96HN2|SAHH3_HUMAN	2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2;2	sp|O43865-2|SAHH2_HUMAN Isoform 2 of Putative adenosylhomocysteinase 2 OS=Homo sapiens GN=AHCYL1;sp|Q96HN2-4|SAHH3_HUMAN Isoform 4 of Putative adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2;sp|Q96HN2-3|SAHH3_HUMAN Isoform 3 of Putative adenosylhomocyst	9	2	2	2	5.4	5.4	5.4	53.753	483	483;508;508;509;518;530;530;610;611	0	15.353	122820000	2				233	6460;10539	True;True	6556;10689	7739;12773	8708;14368	8708;14368		
sp|O43920|NDUS5_HUMAN	sp|O43920|NDUS5_HUMAN	4	4	4	sp|O43920|NDUS5_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Homo sapiens GN=NDUFS5 PE=1 SV=3	1	4	4	4	36.8	36.8	36.8	12.517	106	106	0	26.969	105580000	4				234	4891;5215;8152;14396	True;True;True;True	4954;5287;8268;14630	5812;6202;9825;17391	6530;6961;11102;19504	6530;6961;11102;19504		
sp|O60216|RAD21_HUMAN	sp|O60216|RAD21_HUMAN	2	2	2	sp|O60216|RAD21_HUMAN Double-strand-break repair protein rad21 homolog OS=Homo sapiens GN=RAD21 PE=1 SV=2	1	2	2	2	5.4	5.4	5.4	71.689	631	631	0.0012937	10.752	63825000	2				235	1462;10871	True;True	1483;11025	1739;13168	1973;14828	1973;14828		
sp|O60220|TIM8A_HUMAN	sp|O60220|TIM8A_HUMAN	2	2	2	sp|O60220|TIM8A_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 A OS=Homo sapiens GN=TIMM8A PE=1 SV=1	1	2	2	2	26.8	26.8	26.8	10.998	97	97	0	19.993	155760000	3				236	5290;5600	True;True	5364;5678	6303;6670	7070;7478;7479	7070;7478		
tr|Q5SQH5|Q5SQH5_HUMAN;sp|O60231|DHX16_HUMAN	tr|Q5SQH5|Q5SQH5_HUMAN;sp|O60231|DHX16_HUMAN	1;1	1;1	1;1	tr|Q5SQH5|Q5SQH5_HUMAN DEAH (Asp-Glu-Ala-His) box polypeptide 16, isoform CRA_a OS=Homo sapiens GN=DHX16 PE=1 SV=1;sp|O60231|DHX16_HUMAN Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens GN=DHX16 PE=1 SV=2	2	1	1	1	3.2	3.2	3.2	63.513	560	560;1041	0.001223	7.7009	14277000	1				237	4251	True	4306	5063	5709	5709		
tr|G3V1B8|G3V1B8_HUMAN;tr|H0YEB6|H0YEB6_HUMAN;sp|O60232|SSA27_HUMAN;tr|E9PN57|E9PN57_HUMAN;tr|H0YEK1|H0YEK1_HUMAN	tr|G3V1B8|G3V1B8_HUMAN;tr|H0YEB6|H0YEB6_HUMAN;sp|O60232|SSA27_HUMAN	4;4;4;1;1	4;4;4;1;1	4;4;4;1;1	tr|G3V1B8|G3V1B8_HUMAN Sjoegren syndrome/scleroderma autoantigen 1 OS=Homo sapiens GN=SSSCA1 PE=1 SV=1;tr|H0YEB6|H0YEB6_HUMAN Sjoegren syndrome/scleroderma autoantigen 1 (Fragment) OS=Homo sapiens GN=SSSCA1 PE=1 SV=1;sp|O60232|SSA27_HUMAN Sjoegren syndrome	5	4	4	4	46.3	46.3	46.3	17.176	162	162;193;199;60;107	0	46.01	295470000	4				238	9255;13116;14376;16506	True;True;True;True	9390;13314;14610;16764	11153;15869;17367;19906	12590;17827;19480;22320	12590;17827;19480;22320		
sp|O60256-4|KPRB_HUMAN;sp|O60256-3|KPRB_HUMAN;sp|O60256-2|KPRB_HUMAN;sp|O60256|KPRB_HUMAN;tr|I3L0S1|I3L0S1_HUMAN;tr|E7EPA1|E7EPA1_HUMAN;tr|C9JDU5|C9JDU5_HUMAN;tr|C9JJS3|C9JJS3_HUMAN;tr|C9K0K7|C9K0K7_HUMAN;tr|I3L4G9|I3L4G9_HUMAN	sp|O60256-4|KPRB_HUMAN;sp|O60256-3|KPRB_HUMAN;sp|O60256-2|KPRB_HUMAN;sp|O60256|KPRB_HUMAN;tr|I3L0S1|I3L0S1_HUMAN;tr|E7EPA1|E7EPA1_HUMAN;tr|C9JDU5|C9JDU5_HUMAN;tr|C9JJS3|C9JJS3_HUMAN;tr|C9K0K7|C9K0K7_HUMAN	4;4;4;4;3;3;2;2;2;1	4;4;4;4;3;3;2;2;2;1	3;3;3;3;2;2;2;2;2;0	sp|O60256-4|KPRB_HUMAN Isoform 4 of Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2;sp|O60256-3|KPRB_HUMAN Isoform 3 of Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2;sp|O60256-2|	10	4	4	3	19.4	19.4	14.5	31.321	283	283;320;329;369;260;268;176;194;244;143	0	35.765	208230000	4				239	658;4011;4086;18256	True;True;True;True	668;4065;4141;18548	771;4781;4876;22029	858;5394;5497;24703	858;5394;5497;24703		
sp|O60264|SMCA5_HUMAN	sp|O60264|SMCA5_HUMAN	12	12	7	sp|O60264|SMCA5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1	1	12	12	7	12.5	12.5	7.7	121.9	1052	1052	0	85.14	352350000	12				240	4607;7353;10805;10960;11139;11594;11678;12477;14354;15049;19275;19341	True;True;True;True;True;True;True;True;True;True;True;True	4663;7457;10958;11115;11297;11755;11839;12650;14588;15288;19588;19654	5481;8813;13091;13288;13497;14059;14150;15093;17342;18154;23309;23388	6176;9930;14731;14968;15202;15841;15935;16981;19455;20347;26151;26239	6176;9930;14731;14968;15202;15841;15935;16981;19455;20347;26151;26239		
sp|O60271-5|JIP4_HUMAN;sp|O60271-3|JIP4_HUMAN;sp|O60271-4|JIP4_HUMAN;sp|O60271|JIP4_HUMAN;sp|O60271-9|JIP4_HUMAN;sp|O60271-2|JIP4_HUMAN;tr|H0YBE9|H0YBE9_HUMAN;tr|E9PFH7|E9PFH7_HUMAN;sp|Q9UPT6|JIP3_HUMAN	sp|O60271-5|JIP4_HUMAN;sp|O60271-3|JIP4_HUMAN;sp|O60271-4|JIP4_HUMAN;sp|O60271|JIP4_HUMAN;sp|O60271-9|JIP4_HUMAN;sp|O60271-2|JIP4_HUMAN	5;5;5;5;4;4;1;1;1	5;5;5;5;4;4;1;1;1	5;5;5;5;4;4;1;1;1	sp|O60271-5|JIP4_HUMAN Isoform 5 of C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9;sp|O60271-3|JIP4_HUMAN Isoform 3 of C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9;sp|O60271-4|JIP4_HUMAN Isoform 4 o	9	5	5	5	6.3	6.3	6.3	103.21	931	931;945;1307;1321;1177;1311;174;1330;1336	0	32.103	129290000	4				241	500;4788;11724;16839;18806	True;True;True;True;True	507;4851;11887;17105;19112	589;5695;14203;20299;22723	657;6403;15998;22760;25501	657;6403;15998;22760;25501		
sp|O60306|AQR_HUMAN	sp|O60306|AQR_HUMAN	1	1	1	sp|O60306|AQR_HUMAN Intron-binding protein aquarius OS=Homo sapiens GN=AQR PE=1 SV=4	1	1	1	1	1.3	1.3	1.3	171.29	1485	1485	0.0012531	8.4039	24733000	1				242	17317	True	17591	20872	23412	23412		
sp|O60313|OPA1_HUMAN;tr|E5KLK1|E5KLK1_HUMAN;tr|E5KLJ6|E5KLJ6_HUMAN;tr|E5KLJ9|E5KLJ9_HUMAN;sp|O60313-2|OPA1_HUMAN;tr|E5KLJ5|E5KLJ5_HUMAN;tr|H7C141|H7C141_HUMAN;tr|H7C3G2|H7C3G2_HUMAN;tr|H7C321|H7C321_HUMAN	sp|O60313|OPA1_HUMAN;tr|E5KLK1|E5KLK1_HUMAN;tr|E5KLJ6|E5KLJ6_HUMAN;tr|E5KLJ9|E5KLJ9_HUMAN;sp|O60313-2|OPA1_HUMAN;tr|E5KLJ5|E5KLJ5_HUMAN	32;32;32;32;32;32;6;1;1	32;32;32;32;32;32;6;1;1	32;32;32;32;32;32;6;1;1	sp|O60313|OPA1_HUMAN Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3;tr|E5KLK1|E5KLK1_HUMAN Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=1;tr|E5KLJ6|E5KLJ6_HUMAN Dynamin-like 120 kDa protein, mit	9	32	32	32	38.5	38.5	38.5	111.63	960	960;961;978;979;997;1015;183;131;185	0	280.07	2995900000	41				243	915;2169;3188;3513;3700;3777;4145;4710;4820;4914;5532;6700;6886;7028;7835;8057;8896;10549;11299;13090;13377;15104;15698;16322;17624;18047;18048;18164;19165;19945;20145;20333	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	929;2199;3234;3559;3748;3827;4200;4769;4883;4977;5610;6796;6984;7127;7948;8173;9025;10699;11458;13287;13589;15343;15945;16577;17905;18337;18338;18455;19477;20264;20466;20660	1078;1079;2567;3783;4172;4406;4407;4496;4944;5603;5732;5836;6591;8030;8253;8414;9451;9716;9717;10721;12791;12792;13690;13691;15838;16186;18214;18937;19670;21260;21784;21785;21786;21920;23171;23172;24103;24104;24105;24346;24584	1205;1206;2894;4279;4705;4963;4964;5073;5571;6306;6442;6557;7387;9031;9281;9452;10672;10982;10983;12094;14404;14405;15421;15422;17794;18176;20410;21226;22059;23856;24429;24430;24431;24579;26004;26005;27036;27037;27038;27325;27596	1206;2894;4279;4705;4964;5073;5571;6306;6442;6557;7387;9031;9281;9452;10672;10983;12094;14405;15421;17794;18176;20410;21226;22059;23856;24430;24431;24579;26005;27038;27325;27596		
sp|O60341|KDM1A_HUMAN;tr|F6S0T5|F6S0T5_HUMAN;sp|O60341-2|KDM1A_HUMAN;tr|R4GMP9|R4GMP9_HUMAN	sp|O60341|KDM1A_HUMAN;tr|F6S0T5|F6S0T5_HUMAN;sp|O60341-2|KDM1A_HUMAN;tr|R4GMP9|R4GMP9_HUMAN	3;3;3;2	3;3;3;2	3;3;3;2	sp|O60341|KDM1A_HUMAN Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2;tr|F6S0T5|F6S0T5_HUMAN Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=1;sp|O60341-2|KDM1A_HUMAN Isoform 2 of Lysine-specific histone de	4	3	3	3	4.3	4.3	4.3	92.902	852	852;876;876;301	0	17.812	89094000	2				244	4206;10811;18914	True;True;True	4261;10964;19223	5012;13097;22859	5652;14739;25656	5652;14739;25656		
